iter	Passed	Remaining
629	3040	1785
630	3044	1780
631	3047	1774
632	3051	1768
633	3054	1763
634	3058	1757
635	3061	1752
636	3065	1746
637	3068	1741
638	3072	1735
639	3076	1730
640	3079	1724
641	3083	1719
642	3086	1713
643	3089	1708
644	3093	1702
645	3097	1697
646	3100	1691
647	3104	1686
648	3108	1680
649	3111	1675
650	3115	1669
651	3118	1664
652	3122	1659
653	3126	1654
654	3130	1648
655	3133	1643
656	3137	1638
657	3141	1632
658	3145	1627
659	3149	1622
660	3153	1617
661	3157	1612
662	3160	1606
663	3164	1601
664	3168	1596
665	3171	1590
666	3175	1585
667	3178	1579
668	3182	1574
669	3185	1569
670	3189	1563
671	3192	1558
672	3195	1552
673	3199	1547
674	3203	1542
675	3207	1537
676	3210	1531
677	3214	1526
678	3218	1521
679	3221	1516
680	3225	1510
681	3229	1505
682	3232	1500
683	3237	1495
684	3240	1490
685	3243	1484
686	3247	1479
687	3250	1474
688	3254	1468
689	3257	1463
690	3261	1458
691	3265	1453
692	3269	1448
693	3273	1443
694	3276	1437
695	3280	1433
696	3285	1428
697	3289	1423
698	3293	1418
699	3297	1413
700	3301	1408
701	3305	1402
702	3308	1397
703	3312	1392
704	3315	1387
705	3319	1382
706	3323	1377
707	3327	1372
708	3330	1367
709	3334	1362
710	3338	1356
711	3343	1352
712	3346	1347
713	3350	1342
714	3353	1336
715	3357	1331
716	3361	1326
717	3365	1321
718	3368	1316
719	3371	1311
720	3375	1306
721	3378	1301
722	3382	1295
723	3385	1290
724	3389	1285
725	3392	1280
726	3395	1275
727	3399	1269
728	3402	1264
729	3405	1259
730	3409	1254
731	3412	1249
732	3416	1244
733	3420	1239
734	3423	1234
735	3426	1229
736	3430	1224
737	3434	1219
738	3437	1214
739	3440	1208
740	3444	1203
741	3447	1198
742	3451	1193
743	3454	1188
744	3458	1183
745	3461	1178
746	3464	1173
747	3468	1168
748	3471	1163
749	3474	1158
750	3478	1153
751	3481	1148
752	3485	1143
753	3488	1138
754	3491	1133
755	3495	1128
756	3498	1123
757	3502	1118
758	3505	1113
759	3509	1108
760	3512	1103
761	3516	1098
762	3520	1093
763	3523	1088
764	3527	1083
765	3531	1078
766	3536	1074
767	3539	1069
768	3543	1064
769	3546	1059
770	3550	1054
771	3553	1049
772	3556	1044
773	3560	1039
774	3563	1034
775	3566	1029
776	3570	1024
777	3573	1019
778	3577	1014
779	3580	1009
780	3584	1005
781	3587	1000
782	3591	995
783	3594	990
784	3598	985
785	3602	980
786	3606	976
787	3609	971
788	3613	966
789	3616	961
790	3620	956
791	3624	951
792	3627	946
793	3631	942
794	3635	937
795	3638	932
796	3642	927
797	3645	922
798	3649	918
799	3652	913
800	3656	908
801	3659	903
802	3663	898
803	3667	893
804	3670	889
805	3674	884
806	3678	879
807	3681	874
808	3685	870
809	3689	865
810	3693	860
811	3696	855
812	3700	851
813	3703	846
814	3706	841
815	3710	836
816	3713	831
817	3718	827
818	3721	822
819	3725	817
820	3728	812
821	3732	808
822	3737	803
823	3740	799
824	3744	794
825	3748	789
826	3752	784
827	3755	780
828	3759	775
829	3762	770
830	3766	765
831	3769	761
832	3773	756
833	3777	751
834	3780	747
835	3783	742
836	3787	737
837	3791	733
838	3795	728
839	3799	723
840	3803	719
841	3806	714
842	3809	709
843	3813	704
844	3816	700
845	3820	695
846	3823	690
847	3826	685
848	3830	681
849	3833	676
850	3836	671
851	3840	667
852	3843	662
853	3847	657
854	3850	652
855	3853	648
856	3857	643
857	3860	638
858	3863	634
859	3867	629
860	3870	624
861	3874	620
862	3877	615
863	3881	610
864	3884	606
865	3887	601
866	3891	596
867	3894	592
868	3898	587
869	3901	583
870	3905	578
871	3908	573
872	3912	569
873	3916	564
874	3920	560
875	3923	555
876	3927	550
877	3931	546
878	3935	541
879	3938	537
880	3942	532
881	3945	527
882	3950	523
883	3953	518
884	3957	514
885	3960	509
886	3964	505
887	3968	500
888	3972	495
889	3975	491
890	3979	486
891	3982	482
892	3986	477
893	3990	473
894	3993	468
895	3997	464
896	4000	459
897	4004	454
898	4008	450
899	4012	445
900	4015	441
901	4018	436
902	4022	432
903	4026	427
904	4029	423
905	4033	418
906	4036	413
907	4040	409
908	4044	404
909	4047	400
910	4050	395
911	4054	391
912	4057	386
913	4061	382
914	4064	377
915	4068	373
916	4071	368
917	4075	364
918	4079	359
919	4082	354
920	4085	350
921	4089	345
922	4093	341
923	4096	336
924	4099	332
925	4103	327
926	4106	323
927	4110	318
928	4114	314
929	4118	309
930	4122	305
931	4126	301
932	4129	296
933	4133	292
934	4138	287
935	4141	283
936	4145	278
937	4148	274
938	4152	269
939	4155	265
940	4159	260
941	4163	256
942	4166	251
943	4170	247
944	4173	242
945	4177	238
946	4180	233
947	4184	229
948	4188	225
949	4191	220
950	4195	216
951	4198	211
952	4201	207
953	4205	202
954	4208	198
955	4212	193
956	4216	189
957	4219	184
958	4223	180
959	4226	176
960	4230	171
961	4233	167
962	4236	162
963	4240	158
964	4243	153
965	4247	149
966	4251	145
967	4255	140
968	4259	136
969	4264	131
970	4267	127
971	4271	123
972	4275	118
973	4278	114
974	4283	109
975	4286	105
976	4290	100
977	4293	96
978	4297	92
979	4300	87
980	4303	83
981	4307	78
982	4311	74
983	4314	70
984	4319	65
985	4323	61
986	4326	56
987	4331	52
988	4334	48
989	4338	43
990	4341	39
991	4345	35
992	4348	30
993	4352	26
994	4355	21
995	4359	17
996	4363	13
997	4366	8
998	4370	4
999	4373	0
